Confirmado,Mortes,Mortalidade,Capital,Atualizado,Created
1122,10,"0,89%",Florianópolis-SC,22/06/2020,23/06/2020 - 11:06:24:839
11476,211,"1,84%",Aracaju-SE,22/06/2020,23/06/2020 - 11:06:25:237
107731,6404,"5,94%",São Paulo-SP,22/06/2020,23/06/2020 - 11:06:25:746
1320,15,"1,14%",Palmas-TO,21/06/2020,23/06/2020 - 11:06:26:332
1868,67,"3,59%",Porto Alegre-RS,23/06/2020,24/06/2020 - 11:06:01:626
6176,230,"3,72%",Rio Branco-AC,23/06/2020,24/06/2020 - 11:06:07:605
13371,547,"4,09%",Maceió-AL,23/06/2020,24/06/2020 - 11:06:08:871
25710,1727,"6,72%",Manaus-AM,23/06/2020,24/06/2020 - 11:06:09:465
12841,232,"1,81%",Macapá-AP,23/06/2020,24/06/2020 - 11:06:09:922
23411,904,"3,86%",Salvador-BA,21/06/2020,24/06/2020 - 11:06:10:459
33755,3174,"9,40%",Fortaleza-CE,23/06/2020,24/06/2020 - 11:06:10:943
31457,432,"1,37%",Brasília-DF,23/06/2020,24/06/2020 - 11:06:11:337
6132,221,"3,60%",Vitória-ES,23/06/2020,24/06/2020 - 11:06:11:840
5359,130,"2,43%",Goiânia-GO,23/06/2020,24/06/2020 - 11:06:12:359
12577,734,"5,84%",São Luís-MA,23/06/2020,24/06/2020 - 11:06:12:961
4667,96,"2,06%",Belo Horizonte-MG,23/06/2020,24/06/2020 - 11:06:13:590
1338,8,"0,60%",Campo Grande-MS,22/06/2020,24/06/2020 - 11:06:14:53
2914,121,"4,15%",Cuiabá-MT,23/06/2020,24/06/2020 - 11:06:14:580
18110,1870,"10,33%",Belém-PA,23/06/2020,24/06/2020 - 11:06:15:25
10466,261,"2,49%",João Pessoa-PB,21/06/2020,24/06/2020 - 11:06:15:589
19679,1662,"8,45%",Recife-PE,22/06/2020,24/06/2020 - 11:06:16:12
6305,301,"4,77%",Teresina-PI,23/06/2020,24/06/2020 - 11:06:16:545
2123,69,"3,25%",Porto Alegre-RS,24/06/2020,25/06/2020 - 11:06:01:891
6176,230,"3,72%",Rio Branco-AC,23/06/2020,25/06/2020 - 11:06:02:503
13906,556,"4,00%",Maceió-AL,24/06/2020,25/06/2020 - 11:06:04:960
26153,1735,"6,63%",Manaus-AM,24/06/2020,25/06/2020 - 11:06:05:784
12861,236,"1,84%",Macapá-AP,24/06/2020,25/06/2020 - 11:06:06:261
25749,991,"3,85%",Salvador-BA,24/06/2020,25/06/2020 - 11:06:06:916
34027,3212,"9,44%",Fortaleza-CE,24/06/2020,25/06/2020 - 11:06:07:339
33096,449,"1,36%",Brasília-DF,24/06/2020,25/06/2020 - 11:06:07:830
6132,221,"3,60%",Vitória-ES,23/06/2020,25/06/2020 - 11:06:08:455
5728,137,"2,39%",Goiânia-GO,24/06/2020,25/06/2020 - 11:06:09:245
12635,745,"5,90%",São Luís-MA,24/06/2020,25/06/2020 - 11:06:09:962
4772,104,"2,18%",Belo Horizonte-MG,24/06/2020,25/06/2020 - 11:06:10:646
1446,8,"0,55%",Campo Grande-MS,23/06/2020,25/06/2020 - 11:06:11:128
3015,125,"4,15%",Cuiabá-MT,24/06/2020,25/06/2020 - 11:06:11:666
18387,1872,"10,18%",Belém-PA,24/06/2020,25/06/2020 - 11:06:12:95
10466,261,"2,49%",João Pessoa-PB,21/06/2020,25/06/2020 - 11:06:12:531
19975,1719,"8,61%",Recife-PE,24/06/2020,25/06/2020 - 11:06:13:153
6618,307,"4,64%",Teresina-PI,24/06/2020,25/06/2020 - 11:06:13:688
2265,69,"3,05%",Porto Alegre-RS,25/06/2020,26/06/2020 - 11:06:01:688
6380,236,"3,70%",Rio Branco-AC,25/06/2020,26/06/2020 - 11:06:02:298
14101,563,"3,99%",Maceió-AL,25/06/2020,26/06/2020 - 11:06:03:717
26483,1743,"6,58%",Manaus-AM,25/06/2020,26/06/2020 - 11:06:04:266
12880,242,"1,88%",Macapá-AP,25/06/2020,26/06/2020 - 11:06:04:800
25749,991,"3,85%",Salvador-BA,24/06/2020,26/06/2020 - 11:06:05:327
34027,3212,"9,44%",Fortaleza-CE,24/06/2020,26/06/2020 - 11:06:05:926
33096,449,"1,36%",Brasília-DF,24/06/2020,26/06/2020 - 11:06:06:463
6496,232,"3,57%",Vitória-ES,25/06/2020,26/06/2020 - 11:06:07:220
5958,138,"2,32%",Goiânia-GO,25/06/2020,26/06/2020 - 11:06:07:723
12693,756,"5,96%",São Luís-MA,25/06/2020,26/06/2020 - 11:06:08:176
4942,106,"2,14%",Belo Horizonte-MG,25/06/2020,26/06/2020 - 11:06:08:764
1554,8,"0,51%",Campo Grande-MS,24/06/2020,26/06/2020 - 11:06:09:232
3132,136,"4,34%",Cuiabá-MT,25/06/2020,26/06/2020 - 11:06:09:772
18619,1883,"10,11%",Belém-PA,25/06/2020,26/06/2020 - 11:06:10:227
10466,261,"2,49%",João Pessoa-PB,21/06/2020,26/06/2020 - 11:06:10:758
20165,1743,"8,64%",Recife-PE,25/06/2020,26/06/2020 - 11:06:11:204
6899,324,"4,70%",Teresina-PI,25/06/2020,26/06/2020 - 11:06:12:99
3093,122,"3,94%",Curitiba-PR,25/06/2020,26/06/2020 - 11:06:12:563
54169,6161,"11,37%",Rio de Janeiro-RJ,25/06/2020,26/06/2020 - 11:06:13:16
8351,310,"3,71%",Natal-RN,23/06/2020,26/06/2020 - 11:06:13:537
10344,317,"3,06%",Porto Velho-RO,23/06/2020,26/06/2020 - 11:06:13:969
2383,76,"3,19%",Porto Alegre-RS,26/06/2020,27/06/2020 - 11:06:58:736
6380,236,"3,70%",Rio Branco-AC,25/06/2020,27/06/2020 - 11:06:59:180
14237,569,"4,00%",Maceió-AL,26/06/2020,27/06/2020 - 11:06:00:487
26783,1747,"6,52%",Manaus-AM,26/06/2020,27/06/2020 - 11:06:00:902
12885,245,"1,90%",Macapá-AP,26/06/2020,27/06/2020 - 11:06:01:344
27666,1046,"3,78%",Salvador-BA,26/06/2020,27/06/2020 - 11:06:01:767
34027,3212,"9,44%",Fortaleza-CE,24/06/2020,27/06/2020 - 11:06:02:229
36464,486,"1,33%",Brasília-DF,26/06/2020,27/06/2020 - 11:06:03:549
6676,233,"3,49%",Vitória-ES,26/06/2020,27/06/2020 - 11:06:04:31
6111,150,"2,45%",Goiânia-GO,26/06/2020,27/06/2020 - 11:06:04:407
12693,756,"5,96%",São Luís-MA,25/06/2020,27/06/2020 - 11:06:04:919
4977,109,"2,19%",Belo Horizonte-MG,26/06/2020,27/06/2020 - 11:06:05:437
1704,8,"0,47%",Campo Grande-MS,25/06/2020,27/06/2020 - 11:06:05:872
3258,145,"4,45%",Cuiabá-MT,26/06/2020,27/06/2020 - 11:06:06:360
18751,1889,"10,07%",Belém-PA,26/06/2020,27/06/2020 - 11:06:06:867
10466,261,"2,49%",João Pessoa-PB,21/06/2020,27/06/2020 - 11:06:07:311
20165,1743,"8,64%",Recife-PE,25/06/2020,27/06/2020 - 11:06:07:661
7098,335,"4,72%",Teresina-PI,26/06/2020,27/06/2020 - 11:06:08:175
3093,122,"3,94%",Curitiba-PR,25/06/2020,27/06/2020 - 11:06:08:561
55152,6264,"11,36%",Rio de Janeiro-RJ,26/06/2020,27/06/2020 - 11:06:08:916
9234,343,"3,71%",Natal-RN,25/06/2020,27/06/2020 - 11:06:09:319
10893,324,"2,97%",Porto Velho-RO,24/06/2020,27/06/2020 - 11:06:09:661
2456,79,"3,22%",Porto Alegre-RS,27/06/2020,28/06/2020 - 11:06:01:568
6498,243,"3,74%",Rio Branco-AC,26/06/2020,28/06/2020 - 11:06:06:255
14237,569,"4,00%",Maceió-AL,26/06/2020,28/06/2020 - 11:06:07:510
26842,1768,"6,59%",Manaus-AM,27/06/2020,28/06/2020 - 11:06:08:92
12914,248,"1,92%",Macapá-AP,27/06/2020,28/06/2020 - 11:06:08:559
27666,1046,"3,78%",Salvador-BA,26/06/2020,28/06/2020 - 11:06:09:496
34719,3244,"9,34%",Fortaleza-CE,26/06/2020,28/06/2020 - 11:06:10:168
36464,486,"1,33%",Brasília-DF,26/06/2020,28/06/2020 - 11:06:10:638
6676,233,"3,49%",Vitória-ES,26/06/2020,28/06/2020 - 11:06:11:197
6122,153,"2,50%",Goiânia-GO,27/06/2020,28/06/2020 - 11:06:11:740
12755,771,"6,04%",São Luís-MA,26/06/2020,28/06/2020 - 11:06:12:501
4977,109,"2,19%",Belo Horizonte-MG,26/06/2020,28/06/2020 - 11:06:13:238
1704,8,"0,47%",Campo Grande-MS,25/06/2020,28/06/2020 - 11:06:13:698
3258,145,"4,45%",Cuiabá-MT,26/06/2020,28/06/2020 - 11:06:14:177
18908,1892,"10,01%",Belém-PA,27/06/2020,28/06/2020 - 11:06:14:731
10466,261,"2,49%",João Pessoa-PB,21/06/2020,28/06/2020 - 11:06:15:493
20275,1781,"8,78%",Recife-PE,26/06/2020,28/06/2020 - 11:06:15:954
7098,335,"4,72%",Teresina-PI,26/06/2020,28/06/2020 - 11:06:16:487
3093,122,"3,94%",Curitiba-PR,25/06/2020,28/06/2020 - 11:06:17:15
55152,6264,"11,36%",Rio de Janeiro-RJ,26/06/2020,28/06/2020 - 11:06:17:524
9234,343,"3,71%",Natal-RN,25/06/2020,28/06/2020 - 11:06:18:16
10893,324,"2,97%",Porto Velho-RO,24/06/2020,28/06/2020 - 11:06:18:708
9789,225,"2,30%",Boa Vista-RR,26/06/2020,28/06/2020 - 11:06:19:259
1279,13,"1,02%",Florianópolis-SC,26/06/2020,28/06/2020 - 11:06:19:678
12849,247,"1,92%",Aracaju-SE,26/06/2020,28/06/2020 - 11:06:20:166
122759,6982,"5,69%",São Paulo-SP,27/06/2020,28/06/2020 - 11:06:20:878
1650,16,"0,97%",Palmas-TO,26/06/2020,28/06/2020 - 11:06:21:435
2464,80,"3,25%",Porto Alegre-RS,28/06/2020,29/06/2020 - 11:06:58:869
6647,249,"3,75%",Rio Branco-AC,27/06/2020,29/06/2020 - 11:06:59:430
14830,587,"3,96%",Maceió-AL,28/06/2020,29/06/2020 - 11:06:00:989
27122,1770,"6,53%",Manaus-AM,28/06/2020,29/06/2020 - 11:06:01:446
12914,248,"1,92%",Macapá-AP,27/06/2020,29/06/2020 - 11:06:01:970
32332,1093,"3,38%",Salvador-BA,28/06/2020,29/06/2020 - 11:06:02:513
35012,3245,"9,27%",Fortaleza-CE,28/06/2020,29/06/2020 - 11:06:03:66
37642,491,"1,30%",Brasília-DF,27/06/2020,29/06/2020 - 11:06:03:706
6676,233,"3,49%",Vitória-ES,26/06/2020,29/06/2020 - 11:06:04:226
6126,153,"2,50%",Goiânia-GO,28/06/2020,29/06/2020 - 11:06:04:754
12816,788,"6,15%",São Luís-MA,27/06/2020,29/06/2020 - 11:06:05:283
4977,108,"2,17%",Belo Horizonte-MG,27/06/2020,29/06/2020 - 11:06:05:936
1896,8,"0,42%",Campo Grande-MS,26/06/2020,29/06/2020 - 11:06:06:423
